slide,section,title,family,spec_file
1,Diagram library,Diagram library,meta,README
2,Diagram library,Read before you start,meta,README
3,Diagram library,Table of contents,meta,README
4,Top priority graphics,Top priority graphics,meta,README
5,Top priority graphics,Governance and board engagement,process,process.spec.md
6,Top priority graphics,Double diamond,process,process.spec.md
7,Top priority graphics,Double diamond,process,process.spec.md
8,Top priority graphics,Our approach to delivery,process,process.spec.md
9,Top priority graphics,Business and technology,relationship,relationship.spec.md
10,Top priority graphics,Continuous delivery,process,process.spec.md
11,Top priority graphics,Business and technology,relationship,relationship.spec.md
12,Top priority graphics,Skills transfer benefits,process,process.spec.md
13,Top priority graphics,Lean value tree,hierarchy,hierarchy.spec.md
14,Top priority graphics,Lean value tree,hierarchy,hierarchy.spec.md
15,Top priority graphics,Lean value tree,hierarchy,hierarchy.spec.md
16,Top priority graphics,Approach : Our secret sauce - Value driven management,process,process.spec.md
17,Top priority graphics,Managing risk,matrix,matrix.spec.md
18,Top priority graphics,Team based metrics,matrix,matrix.spec.md
19,Top priority graphics,Team based metrics,matrix,matrix.spec.md
20,Top priority graphics,Skills transfer,process,process.spec.md
21,Top priority graphics,Build measure learn in context,process,process.spec.md
22,Top priority graphics,Product discovery,process,process.spec.md
23,Top priority graphics,Product discovery,process,process.spec.md
24,Top priority graphics,Innovation adoption lifecycle,chart,chart.spec.md
25,Top priority graphics,Why initiative diagram,process,process.spec.md
26,Thoughtworks people/roles,Thoughtworks people/roles,meta,README
27,Thoughtworks people/roles,Operational model,hierarchy,hierarchy.spec.md
28,Thoughtworks people/roles,Operational model,hierarchy,hierarchy.spec.md
29,Thoughtworks people/roles,Technology @ Thoughtworks,hierarchy,hierarchy.spec.md
30,Thoughtworks people/roles,My journey so far...,timeline,timeline.spec.md
31,Thoughtworks people/roles,Interview process,hierarchy,hierarchy.spec.md
32,Thoughtworks people/roles,Ways of working,hierarchy,hierarchy.spec.md
33,Thoughtworks people/roles,Lean value tree in context,hierarchy,hierarchy.spec.md
34,Thoughtworks people/roles,Ways of working - collaboration across roles,hierarchy,hierarchy.spec.md
35,Thoughtworks people/roles,Multiskilled roles and polyglot talent,hierarchy,hierarchy.spec.md
36,Thoughtworks people/roles,Team capabilities,hierarchy,hierarchy.spec.md
37,Thoughtworks people/roles,Growth paths example,hierarchy,hierarchy.spec.md
38,Thoughtworks people/roles,Growth paths example,hierarchy,hierarchy.spec.md
39,Thoughtworks people/roles,Growth paths template,hierarchy,hierarchy.spec.md
